nxt_to_address,Label,Class
0x1a13f4ca1d028320a707d99520abfefca3998b7f,Aave,Defi
0x5c2ed810328349100a66b82b78a1791b101c9d61,Aave,Defi
0x60d55f02a771d515e077c9c2403a1ef324885cec,Aave,Defi
0x44aaa9ebafb4557605de574d5e968589dc3a84d1,Allbridge Out,Bridge Out
0x837503e8a8753ae17fb8c8151b8e6f586defcb57,IronSwap,Dex
0xac57280b3a657a2e8d1180493c519a476d208f61,Polynetwork,Bridge Out
0x9d945d909ca91937d19563e30bb4dac12c860189,Unknown,Unknown
0x11431a89893025d2a48dca4eddc396f8c8117187,1Inch,Dex
0x853ee4b2a13f8a742d64c8f088be7ba2131f670d,Quickswap,Dex
0x0000000000000000000000000000000000000000,Bridge Out,Bridge Out
0xc2d95eef97ec6c17551d45e77b590dc1f9117c67,Curve,Defi
0xad6ad29d6b8b74b4302dd829c945ca3274035c16,IronFinance,Defi
0x445fe580ef8d70ff569ab36e80c647af338db351,Curve,Defi
0x28424507fefb6f7f8e9d3860f56504e4e5f5f390,Aave,Defi
0x1dc36a87aa9bac21b31a657b70d1cb2b5f305348,Unknown,Unknown
0x299081f52738a4204c3d58264ff44f6f333c6c88,Firebird,Defi
0xe95876787b055f1b9e4cfd5d3e32bde302bf789d,Unknown,Unknown
0xbebad52f3a50806b25911051babde6615c8e21ef,IronFinance,Defi
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer,Defi
0x34965ba0ac2451a34a0471f04cca3f990b8dea27,Sushiswap,Dex
0x39bed7f1c412ab64443196a6fecb2ac20c707224,Defyn,Dex
0x5f6558b14107776c09204d246e7ae8370bd2a4b9,Unknown,Unknown
0x6a4fa2984a83c44298bdd194ffb47656ab5088bc,Instadapp,Defi
0xb719377106d9db3839fedfd8b712eca785618ed8,Unknown,Unknown
0xdb6f1920a889355780af7570773609bd8cb1f498,Unknown,Unknown
0xe62ec2e799305e0d367b0cc3ee2cda135bf89816,Sushiswap,Dex
0xc4e595acdd7d12fec385e5da5d43160e8a0bac0e,Sushiswap,Dex
0x8f8e95ff4b4c5e354ccb005c6b0278492d7b5907,Sushiswap,Dex
0x3324af8417844e70b81555a6d1568d78f4d4bf1f,Sushiswap,Dex
0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001,Sushiswap,Dex
0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,Sushiswap,Dex
0xb5846453b67d0b4b4ce655930cf6e4129f4416d7,Sushiswap,Dex
0x1ceda73c034218255f50ef8a2c282e6b4c301d60,Sushiswap,Dex
0xcd353f79d9fade311fc3119b841e1f456b54e858,Sushiswap,Dex
0x4642dafc5281ba5a8d35b2896e0d925b23c6883c,Sushiswap,Dex
0x74d23f21f780ca26b47db16b0504f2e3832b9321,Sushiswap,Dex
0x9021a31062a1d9c9c35d632ed54a9d923e46809f,Sushiswap,Dex
0x2481cbe674fb72cf8cd3031ff4747078d168c9b3,Sushiswap,Dex
0xc48ae82ca34c63887b975f20aba91a38f2a900b8,Sushiswap,Dex
0x9e20a8d3501bf96eda8e69b96dd84840058a1cb0,Sushiswap,Dex
0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,Sushiswap,Dex
0xce5b8977f5021f1ef1232b1d4a0cfd03e8bcba9b,Sushiswap,Dex
0x6be10c5c7178af8c49997d07d6a5444c15e58170,Sushiswap,Dex
0xf715beb51ec8f63317d66f491e37e7bb048fcc2d,OpenSea,Defi
0xcd578f016888b57f1b1e3f887f392f0159e26747,Sushiswap,Dex
0xcb3716006b3b468624b2a246505ec0d22673e077,Sushiswap,Dex
0xc30d6bc42911aa21a63e51c7121b33b3e65cc3c4,Sushiswap,Dex
0x7c07cecd8cdd65c0dad449808cc5f9ad74c22bd1,Sushiswap,Dex
0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,Sushiswap,Dex
0xa375d23a751124359568f3a22576528bd1c8c3e3,Sushiswap,Dex
0x2813d43463c374a680f235c428fb1d7f08de0b69,Sushiswap,Dex
0xc67136e235785727a0d3b5cfd08325327b81d373,Sushiswap,Dex
0x97a95deb56d689802f02f50c25ebcda5d0a49591,Sushiswap,Dex
0xc56060af39152c614fa67e169c0dd1809a886e4f,Sushiswap,Dex
0xd8d51ea2edca2c2ea15a053a5730f559d79a1570,Sushiswap,Dex
0xdfa3ddd1807db8e4b4851d2e5421374e433a2983,Sushiswap,Dex
0x1bf9805b40a5f69c7d0f9e5d1ab718642203c652,Sushiswap,Dex
0xbf61e1d82bd440cb9da11d325c046f029a663890,Sushiswap,Dex
0x21ef14b5580a852477ef31e7ea9373485bf50377,Sushiswap,Dex
0xc5666d43f06c073e869bce02407569f578b2072d,Sushiswap,Dex
0x6fd8aae9f85a7db14c45453daab81aa3085e4ba3,Sushiswap,Dex
0x14dbe3e6814fd532ef87e4be9b4192c018752823,Sushiswap,Dex
0x396e655c309676caf0acf4607a868e0cded876db,Sushiswap,Dex
0xd3924ad8f881514eff89503be9027b877e9e2bd0,Sushiswap,Dex
0xfbae8e2d04a67c10047d83ee9b8aeffe7f6ea3f4,Sushiswap,Dex
0x5e5c517ec55d6393d91d6a1379e5ae393a01a423,Sushiswap,Dex
0xd7217619279f31da063d738cf1bf7435764a07d9,Sushiswap,Dex
0xf1c97b5d031f09f64580fe79fe30110a8c971bf9,Sushiswap,Dex
0x55ff76bffc3cdd9d5fdbbc2ece4528ecce45047e,Sushiswap,Dex
0x590f5e967d73ea06dae9aed2788108dcf52da269,Sushiswap,Dex
0x5fcb390b4422f4ff7940c23618a62bf5f69658a8,Sushiswap,Dex
0xb6d9a4649c579b8768f1cb55e9dd6ba99581e4a9,Sushiswap,Dex
0xf6eedc72e38229093e6ca95c7d224e0ed9d99d72,Sushiswap,Dex
0xe15e9d2a5af5c1d3524bbc594ddc4a7d80ad27cd,Sushiswap,Dex
0x8531c4e29491fe6e5e87af6054fc20fccf0b4290,Sushiswap,Dex
0xc43d6163a14d98d459f58a5bd21f180244db3192,Sushiswap,Dex
0xa6f5cf768a0a9d0ee712491ee981778602b0728b,Sushiswap,Dex
